Valkrets,Högern,H_Mandate,H_comparison,Bondeförbundet,B_Mandate,B_comparison,Folkpartiet,Fp_Mandate,Fp_comparison,Socialdemokraterna,S_Mandate,S_comparison,Kommunisterna,K_Mandate,K_comparison,Övriga,Summa,mag,cst,Source
Stockholms stad ,114061,7,2,7529,0,,101288,6,— 3,180978,10,1,25887,2,,10,429753,25,18,https://runeberg.org/svda/1958/0047.html
Stockholms län ,47759,3,—,14835,1,1,40046,3,— 1,93235,6,1,8950,0,— 1,11,204836,13,17,
Uppsala län ,15211,1,—,12717,1,1,14190,1,—,41700,2,— 1,0,0,—,7,83825,5,20,
Södermanlands län ....,17590,1,—,13983,1,1,21921,1,— 1,65530,4,—,0,0,—,5,119029,7,19,
Östergötlands län ....,38875,2,—,24287,1,,26160,2,—,97564,6,—,4941,0,—,3,191830,11,28,
Jönköpings län ,30665,2,—,28078,2,1,31801,2,—,60444,3,— 1,0,0,—,12,151000,9,8,
Kronobergs län ,19050,1,—,21380,2,1,9840,0,— 1,33328,2,—,0,0,—,5,83603,5,12,
Kalmar län ,28926,2,—,26028,2,1,11993,0,— 1,53059,3,—,2139,0,—,3,122158,7,9,
Gotlands län,4987,1,1,9820,1,—,4168,0,— 1,9835,1,—,0,0,—,—,28810,3,3,
Blekinge län,13008,1,,7087,0,—,15860,1,—,36301,3,—,0,0,—,—,72256,5,1,
Kristianstads län,32730,2,—,25818,2,1,23799,1,— 1,51712,3,—,5,0,—,7,134071,8,11,
Malmö m. fl. städers v:s,63984,3,—,3019,0,,29998,2,—,102857,6,—,3000,0,—,4,202862,11,13,
Malmöhus läns v:s. . . .,26211,1,—,33352,2,1,19230,1,— 1,62719,4,—,0,0,—,9,141521,8,14,
Hallands län,16762,1,—,27602,2,1,11517,0,— 1,30684,2,—,1344,0,—,4,87913,5,6,
Göteborgs stad ,35352,2,—,6,0,,68466,4,— 1,81562,5,1,17987,1,—,1008,204381,12,5,
Göteborgs o. Bohus läns landstingsomr. v:s ..,18444,1,,13126,1,,28097,2,,43450,3,,2775,0,,—,105892,7,2,
Älvsborgs 1. norra v:s,16275,1,—,17985,1,—,24463,1,— 1,45521,3,1,0,0,—,4,104248,6,25,
Älvsborgs 1. södra v:s,27823,1,— 1,14387,1,1,13314,1,—,37061,2,,1905,0,,3,94493,5,26,
Skaraborgs län,28516,2,—,30699,2,1,25948,1,— 1,43664,3,,2008,0,—,8,130843,8,16,
Värmlands län,27153,2,1,17972,1,,22149,1,— 1,78509,5,—,8281,0,—,12,154076,9,21,
Örebro län ,17962,1,,18072,1,,24576,1,— 1,73792,5,1,0,0,—,4,134406,8,27,
Västmanlands län ....,13613,1,—,13780,1,—,17655,1,—,61855,4,,3482,0,—,—,110385,7,24,
Kopparbergs län ,17779,1,—,19248,1,—,22214,2,—,70385,5,—,5020,0,—,6,134652,9,10,
Gävleborgs län ,15688,1,—,19280,1,—,22543,1,— 1,79208,5,1,11271,1,—,4,147994,9,4,
Västernorrlands län . .,17012,1,—,23029,2,1,22698,1,— 1,83277,5,,9427,0,—,7,155450,9,23,
Jämtlands län ,11745,1,—,12609,1,1,10217,0,— 1,38896,3,,0,0,,1,73468,5,7,
Västerbottens län,17667,1,—,19535,1,,26266,2,—,56452,3,—,1832,0,—,17,121769,7,22,
Norrbottens län ,15484,1,—,11497,1,—,9602,0,— 1,63079,5,1,19065,1,—,1,118728,8,15,
Sverige,750332,45,3,486760,32,13,700019,38,-20,1776667,111,5,129319,5,— 1,1155,3844252,231,NA,
