Valkrets,Högern,H_Mandate,H_comparison,Bondeförbundet,B_Mandate,B_comparison,Folkpartiet,Fp_Mandate,Fp_comparison,Socialdemokraterna,S_Mandate,S_comparison,Kommunisterna,K_Mandate,K_comparison,Övriga,Summa,mag,cst,Source
Stockholms stad ,92001,5,1,342,0,,156694,9,—,160496,9,,30575,2,,8,440116,25,18,https://runeberg.org/svda/1956/0088.html
Stockholms län ,39896,3,1,9325,0,——,57944,4,—,87020,5,— 1,11563,1,1,3,205751,13,17,
Uppsala län ,14240,1,—,9730,0,—,19015,1,,40373,3,,2261,,,4,85623,5,20,
Södermanlands län ....,14668,1,1,11632,0,— 1,27585,2,—,65713,4,,2630,,,,122228,7,19,
Östergötlands län,35891,2,—,17181,1,—,35246,2,—,98219,6,,7494,,,9,194040,11,28,
Jönköpings län,28055,2,1,23707,1,— 1,39801,2,,60332,4,,4177,,,6,156078,9,8,
Kronobergs län ,19495,1,—,16677,1,—,12026,1,,33972,2,,3317,,,,85487,5,12,
Kalmar län ,28187,2,—,21104,1,— 1,16456,1,,55544,3,,3789,,,2,125082,7,9,
Gotlands län,4903,0,—,7792,1,—,6326,1,,10491,1,,226,,,,29738,3,3,
Blekinge län,11448,1,1,6769,0,—,19311,1,,35502,3,,2967,,,,75997,5,1,
Kristianstads län ,32104,2,1,20060,1,—,28027,2,—,57107,3,— 1,2093,,,4,139395,8,11,
Malmö m. fl. städers v:s,56440,3,,538,0,—,38434,2,—,103668,6,,5513,,,6,204599,11,13,
Malmöhus läns valkrets,24585,1,—,24250,1,— 1,24912,2,1,68725,4,,953,,,649,144074,8,14,
Hallands län,15699,1,—,21870,1,—,15724,1,,34039,2,,2105,,,,89437,5,6,
Göteborgs stad,25102,2,1,166,0,—,86457,5,—,74431,4,— 1,23199,1,,1252,210607,12,5,
Göteborgs o. Bohus län,15822,1,,10764,1,—,33580,2,,42837,3,,3896,,,,106899,7,2,
Älvsborgs läns norra v:s,14328,1,—,14756,1,—,29532,2,-,43774,2,,2884,,,4,105278,6,25,
Älvsborgs läns södra v:s,26585,2,1,11769,0,— 1,16322,1,—,37939,2,,3465,,,1,96081,5,26,
Skaraborgs län,24748,2,1,24190,1,— 1,33791,2,—,46571,3,,3481,,,4,132785,8,16,
Värmlands län ,23592,1,,13991,1,——,28497,2,—,76532,5,,10563,,,4,153179,9,21,
Örebro län,16148,1,—,11295,1,—,32197,2,,68531,4,,7657,,,3,135831,8,27,
Västmanlands län ....,11707,1,1,10823,1,—,22493,1,— 1,60760,4,,4703,,,,110486,7,24,
Kopparbergs län ,15535,1,,13367,1,—,30414,2,—,67564,5,,6308,,,,133188,9,10,
Gävleborgs län,14685,1,1,14900,1,—,29060,2,—,76784,4,— 1,13279,1,,1,148709,9,4,
Västernorrlands län,14327,1,,17470,1,—,29538,2,—,78769,5,,11334,,,5,151443,9,23,
Jämtlands län ,12127,1,,9627,0,,11241,1,,35768,3,,1730,,,10,70503,5,7,
Västerbottens län ....,16566,1,—,12646,1,,30876,2,—,54088,3,,3022,,,5,117203,7,22,
Norrbottens län ,14809,1,—,9871,1,—,12065,1,,53914,4,—,18832,1,—,2,109493,8,15,
Sverige,663693,42,11,366612,19,— 7,923564,58,-+- 0,1729463,106,— 4,194016,6,1,1982,3879330,231,NA,
