Valkrets,Högern,H_Mandate,H_comparison,Bondeförbundet,B_Mandate,B_comparison,Folkpartiet,Fp_Mandate,Fp_comparison,Socialdemokraterna,S_Mandate,S_comparison,Kommunisterna,K_Mandate,K_comparison,Övriga,Summa,mag,cst,Source
Stockholms_stad,73090,4,—,3293,0,,149492,9,+,165355,9,—,41332,2,—,197,432759,24,18,https://runeberg.org/svda/1948/0078.html
Stockholms_län,23626,1,—,13665,1,—,53840,4,+,87427,5,–1,15452,1,■—,140,194150,12,17,
Uppsala_län,9102,0,.—,11692,1,—,19441,1,,41664,3,,2715,0,—,0,84614,5,20,
Södermanlands_län,9855,0,1,14884,1,—,27604,2,+,68029,4,.—.,3074,0,—,2,123448,7,19,
Östergötlands_län,26742,2,—,23256,1,—,31631,2,+,105842,6,—,9264,0,—,6,196741,11,28,
Jönköpings_län,17399,1,—,28639,2,—,39494,2,,62384,4,,4379,0,.—,1,152296,9,8,
Kronobergs_län,14549,1,.—,21211,1,-,12096,1,+,33634,2,—,3808,0,—,1,85299,5,12,
Kalmar_län........,22187,1,1,28639,2,—,15946,1,+,56295,4,—,4340,0,—,3,127410,8,9,
Gotlands_län,4678,0,1,9745,1,—,6069,1,+,11250,1,—,175,0,—,0,31917,3,3,
Blekinge_län,9009,0,1,8677,0,—,18435,2,4,37185,3,—,3623,0,—,5,76934,5,1,
Kristianstads_län,16490,1,.—,27971,2,—,34635,2,+,61296,4,—,2390,0,.—.,2,142784,9,11,
Fyrstadskretsen,37841,2,1,1942,0,—,35569,2,+,108248,6,—,6151,0,—,64,189815,10,13,
Malmöhus_län,15130,1,-—,35072,2,—,24967,1,,75959,5,,888,0,.—,24,152040,9,14,
Hallands_län,12205,0,1,27344,2,—,13385,1,+,34836,2,—,2731,0,.—,56,90557,5,6,
Göteborgs_stad,22034,1,1,—,0,.—,68737,4,+,75719,4,—,30427,2,—,2377,199294,11,5,
Bohus_län,14044,1,—,13441,1,-,32859,2,,42088,3,,5089,0,—,2,107523,7,2,
Älvsborgs_läns_norra,11484,1,—,20201,1,,26495,2,+,42516,2,—,4262,0,■—■,3,104961,6,25,
Älvsborgs_läns_södra,21204,1,1,14374,1,,15313,1,+,38556,2,—,3398,0,—.,1,92846,5,26,
Skaraborgs_län,22562,1,1,30242,2,1,33642,2,+,48741,3,—,4120,0,—,153,139460,8,16,
Värmlands_län,14030,1,■—,19125,1,—,31795,2,,78301,5,,13193,0,—,1,156445,9,21,
Örebro_län,11471,0,1,13643,1,—,32199,2,+,74021,5,+,8806,0,—,10,140150,8,27,
Västmanlands_län,8254,0,—,13716,1,.—,19056,1,,60461,4,,6651,0,—,0,108138,6,24,
Kopparbergs_län,9915,0,1,20685,2,,29951,2,+,74260,5,—,8417,0,.—,0,143228,9,10,
Gävleborgs_län,9557,0,j,19564,1,—,26772,2,+,79886,5,-1,15971,1,-—,3,151753,9,4,
Västernorrlands_län,11210,1,—,22031,1,—,24951,2,+,80772,5,—,14344,0,—,1,153309,9,23,
Jämtlands_län,7217,0,1,12390,1,-—,13404,1,+,38050,3,—,2915,0,.—,1,73977,5,7,
Västerbottens_län,12423,1,—,15443,1,.—,32957,2,,53581,4,,3524,0,—,2,117930,8,22,
Norrbottens_län,11478,1,—,9536,0,-,11702,1,+,53103,4,—,23387,2,—,7,109213,8,15,
Sverige,478786,23,-16,480421,30,—,882437,57,f,1789459,112,—,244826,8,—,3062,3878991,NA,NA,
